,Mkt-RF,SMB,HML,RMW,CMA,RF
201101,1.98,-2.31,0.61,-0.64,0.81,0.01
201102,3.48,1.65,1.18,-1.83,0.84,0.01
201103,0.46,2.56,-1.84,1.73,-0.07,0.01
201104,2.90,-0.53,-2.44,1.12,-0.86,0.00
201105,-1.27,-0.72,-1.85,1.92,-1.43,0.00
201106,-1.74,0.06,-0.20,2.27,-1.42,0.00
201107,-2.35,-1.11,-0.91,2.68,-1.73,0.00
201108,-5.96,-3.09,-2.43,3.41,-0.26,0.01
201109,-7.57,-3.49,-1.53,1.99,0.15,0.00
201110,11.34,3.25,0.06,-2.25,-0.73,0.00
201111,-0.27,-0.30,-0.52,1.94,1.44,0.00
201112,0.75,-0.29,1.54,1.06,2.47,0.00
201201,5.05,2.02,-0.93,-2.06,-1.48,0.00
201202,4.40,-1.67,0.42,-0.36,-0.08,0.00
201203,3.11,-0.48,1.19,-0.61,0.70,0.00
201204,-0.84,-0.50,-0.77,1.30,0.66,0.00
201205,-6.17,-0.08,-0.95,2.03,2.36,0.01
201206,3.90,0.89,0.55,-1.06,0.45,0.00
201207,0.79,-2.81,-0.06,1.04,0.01,0.00
201208,2.54,0.44,1.23,-1.50,-0.86,0.01
201209,2.73,0.57,1.62,-1.30,1.56,0.01
201210,-1.76,-0.83,3.52,-1.40,2.52,0.01
201211,0.78,0.40,-0.86,0.38,0.81,0.01
201212,1.18,1.92,3.48,-1.72,0.80,0.01
201301,5.57,0.42,1.01,-2.01,1.52,0.00
201302,1.29,-0.25,0.21,-0.59,0.61,0.00
201303,4.03,0.88,-0.22,0.27,1.41,0.00
201304,1.56,-2.24,0.44,0.39,0.43,0.00
201305,2.81,2.04,2.67,-2.00,-0.95,0.00
201306,-1.20,1.54,-0.05,-0.28,-0.06,0.00
201307,5.65,1.75,0.58,-1.35,0.57,0.00
201308,-2.71,-0.03,-2.73,0.71,-2.17,0.00
201309,3.77,2.65,-1.18,-0.54,-1.32,0.00
201310,4.17,-1.50,1.22,2.75,0.89,0.00
201311,3.12,1.44,0.19,0.26,0.06,0.00
201312,2.80,-0.44,0.00,-0.58,0.08,0.00
201401,-3.30,0.60,-1.99,-3.91,-1.54,0.00
201402,4.68,0.13,-0.35,-0.25,-0.54,0.00
201403,0.41,-1.13,4.90,2.02,1.92,0.00
201404,-0.19,-4.07,1.22,3.40,0.93,0.00
201405,2.04,-1.86,-0.10,-0.09,-0.96,0.00
201406,2.61,3.06,-0.71,-1.83,-1.91,0.00
201407,-2.03,-4.20,-0.08,0.93,0.51,0.00
201408,4.24,0.29,-0.57,-0.64,-0.69,0.00
201409,-1.96,-3.66,-1.47,1.20,-0.59,0.00
201410,2.51,3.66,-1.63,-0.39,0.21,0.00
201411,2.56,-2.30,-3.13,1.57,0.14,0.00
201412,-0.05,2.83,2.12,-1.21,0.90,0.00
201501,-3.09,-0.93,-3.45,1.58,-1.64,0.00
